BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
2451	22	503	0	20	23-3	insufficient data	insufficient data
2452	22	2	0	12-6	14-44	exact match	insufficient data
2453	19	1127	0	5-1	10-4	insufficient data	cross-reactive
2454	19	1128	0	12-14	13-20	insufficient data	cross-reactive
2455	83	1129	0	19	2	insufficient data	insufficient data
2456	19	2	0	19	13-13	exact match	cross-reactive
2457	21	1085	0	12-1	30	insufficient data	cross-reactive
2458	404	669	0	20	23	insufficient data	insufficient data
2459	18	304	0	12-14	13-20	insufficient data	insufficient data
2460	16	910	0	20	23-1	insufficient data	cross-reactive
2461	16	910	0	20	23-3	insufficient data	cross-reactive
2462	16	144	0	19-1	13-70	insufficient data	cross-reactive
2463	18	945	0	12-1	13-71	insufficient data	insufficient data
2464	405	688	0	22	23-3	insufficient data	insufficient data
2465	19	2	0	12-1	9	exact match	cross-reactive
2466	101	2	0	18	25	exact match	insufficient data
2467	16	697	0	20	23-7	insufficient data	cross-reactive
2468	405	357	0	22	23	insufficient data	insufficient data
2469	18	20	0	21-2	23	insufficient data	insufficient data
2470	572	1130	0	18	25	insufficient data	insufficient data
2471	19	2	0	20	23-7	exact match	cross-reactive
2472	39	1059	0	5-1	10-4	insufficient data	insufficient data
2473	1034	945	0	12-1	13-1	insufficient data	insufficient data
2474	1035	503	0	7-2	14	insufficient data	insufficient data
2475	747	1131	0	18	25	insufficient data	insufficient data
2476	18	945	0	12-14	13-72	insufficient data	insufficient data
2477	849	1132	0	19	15	insufficient data	insufficient data
2478	19	688	0	20	23-7	insufficient data	cross-reactive
2479	571	10	0	18	25	cross-reactive	insufficient data
2480	21	945	0	22	14	insufficient data	cross-reactive
2481	101	511	0	7-2	16	insufficient data	insufficient data
2482	21	688	0	22	23-1	insufficient data	cross-reactive
2483	286	1060	0	21-2	28	insufficient data	insufficient data
2484	1028	688	0	12-1	13-2	insufficient data	insufficient data
2485	101	237	0	7	16	insufficient data	insufficient data
2486	14	1133	0	21	3	cross-reactive	cross-reactive
2487	38	347	0	7	10	insufficient data	insufficient data
2488	38	347	0	7-3	10	insufficient data	insufficient data
2489	38	347	0	7-4	10	insufficient data	insufficient data
2490	5	27	8	5-1	2-59	exact match	insufficient data
2491	101	1202	0	7	16-17	insufficient data	insufficient data
2492	21	1060	0	21-2	28-1	insufficient data	cross-reactive
2493	1020	7	0	5-2	10-102	insufficient data	insufficient data
2494	19	1176	0	7-2	13-1	insufficient data	cross-reactive
2495	1020	7	0	5-2	10-12	insufficient data	insufficient data
2496	16	20	0	7-2	4	exact match	cross-reactive
2497	1038	21	0	5-2	10-103	insufficient data	insufficient data
2498	25	7	0	5-1	10-100	insufficient data	cross-reactive
2499	4	10	0	22	14	cross-reactive	cross-reactive
2500	12	12	0	19-1	15-11	cross-reactive	insufficient data
2501	510	29	1	18-1	30-1	insufficient data	cross-reactive
2502	119	58	0	7	30	insufficient data	insufficient data
2503	4	10	0	18-1	3	cross-reactive	cross-reactive
2504	19	43	0	22	14-16	none	cross-reactive
2505	21	21	0	17-1	23-6	insufficient data	cross-reactive
2506	1038	21	0	19	15	insufficient data	insufficient data
2507	4	305	0	18	25-71	cross-reactive	cross-reactive
2508	115	255	0	7-4	1	insufficient data	insufficient data
2509	4	10	0	18	25-73	cross-reactive	cross-reactive
2510	13	114	0	21-7	16-110	insufficient data	cross-reactive
2511	94	145	0	18-4	25-37	insufficient data	insufficient data
2512	22	601	0	18-1	30	insufficient data	insufficient data
2513	19	248	0	18-1	34	insufficient data	cross-reactive
2514	13	114	0	22-29	14-6	insufficient data	cross-reactive
2515	25	7	0	5-1	10-7	insufficient data	cross-reactive
2516	16	101	91	7	30-4	insufficient data	cross-reactive
2517	13	114	0	21	16	insufficient data	cross-reactive
2518	14	1136	0	12-1	13-1	cross-reactive	cross-reactive
2519	13	114	0	21-7	16-66	insufficient data	cross-reactive
2520	627	912	0	12-6	13-37	insufficient data	insufficient data
2521	94	145	0	22-1	14	insufficient data	insufficient data
2522	102	58	0	7-2	30-7	insufficient data	insufficient data
2523	144	20	1	18-3	1	cross-reactive	insufficient data
2524	94	1194	0	18-1	3-16	insufficient data	insufficient data
2525	19	10	0	17	9	cross-reactive	cross-reactive
2526	16	601	0	22	14	insufficient data	cross-reactive
2527	45	18	0	22	14-16	none	exact match
2528	174	291	0	5-1	10-4	insufficient data	insufficient data
2529	94	10	0	19	13-1	cross-reactive	insufficient data
2530	24	313	0	7-2	13	insufficient data	insufficient data
2531	94	1194	0	18-1	3	insufficient data	insufficient data
2532	47	118	0	19-2	13-15	insufficient data	cross-reactive
2533	627	912	0	12-6	13-39	insufficient data	insufficient data
2534	23	9	0	7	30	insufficient data	cross-reactive
2535	24	21	0	7-2	13-15	insufficient data	insufficient data
2536	21	9	0	5-1	10-8	none	cross-reactive
2537	4	747	0	19	15	cross-reactive	cross-reactive
2538	47	197	0	7-1	4-1	none	cross-reactive
2539	4	311	0	18	25-15	cross-reactive	cross-reactive
2540	4	10	0	5-1	2-59	cross-reactive	cross-reactive
2541	24	114	0	21-7	16	insufficient data	insufficient data
2542	21	129	0	7-1	1	insufficient data	cross-reactive
2543	686	18	0	22	14	insufficient data	insufficient data
2544	4	149	0	18	25-37	cross-reactive	cross-reactive
2545	16	21	0	12-3	4	exact match	cross-reactive
2546	15	21	0	17-1	23-6	cross-reactive	cross-reactive
2547	16	306	0	18	25-15	insufficient data	cross-reactive
2548	4	10	0	22-15	28-2	cross-reactive	cross-reactive
2549	13	114	0	7	16	insufficient data	cross-reactive
2550	276	2	0	5-1	2-2	exact match	cross-reactive
2551	224	316	100	7-2	16-26	insufficient data	insufficient data
2552	4	2	0	7-2	23-6	exact match	cross-reactive
2553	30	3	100	21-7	10-4	insufficient data	cross-reactive
2554	22	2	0	7	30	exact match	insufficient data
2555	931	63	0	5-3	2-16	insufficient data	insufficient data
2556	19	0	0	19	15	none	cross-reactive
2557	1098	2	0	22	26	exact match	insufficient data
2558	4	2	0	18-1	25-85	exact match	cross-reactive
2559	4	10	0	18	25-85	cross-reactive	cross-reactive
2560	0	10	0	18	25-14	cross-reactive	none
2561	4	10	0	18	25-86	cross-reactive	cross-reactive
2562	4	10	0	18	25-87	cross-reactive	cross-reactive
2563	12	12	0	5-1	2-89	cross-reactive	insufficient data
2564	13	20	0	5-1	10-107	insufficient data	cross-reactive
2565	1100	21	0	22-1	14	insufficient data	insufficient data
2566	1099	29	6	5	2	cross-reactive	insufficient data
2567	22	29	6	5	44-1	cross-reactive	insufficient data
2568	22	58	0	18-14	30-4	insufficient data	insufficient data
2569	102	58	0	7-2	30-39	insufficient data	insufficient data
2570	16	465	0	22	9-29	insufficient data	cross-reactive
2571	106	1208	0	19	15	insufficient data	insufficient data
2572	106	1210	0	19	15	insufficient data	insufficient data
2573	19	1209	0	22-1	14	insufficient data	cross-reactive
2574	510	29	1	18-1	30-8	insufficient data	cross-reactive
2575	245	253	0	5-3	2-16	insufficient data	insufficient data
2576	37	20	0	7-1	16	cross-reactive	insufficient data
2577	37	54	0	5-2	10	cross-reactive	insufficient data
2578	321	243	1	5-2	10-1	cross-reactive	insufficient data
2579	19	17	0	7	16	none	cross-reactive
2580	45	18	21	22	14	none	exact match
2581	1	3	1	22	14	exact match	cross-reactive
2582	37	6	0	18-7	9	cross-reactive	insufficient data
2583	213	3	1	7-2	16	insufficient data	insufficient data
2584	321	6	0	7-2	13-1	insufficient data	insufficient data
2585	663	63	0	7-2	13	insufficient data	insufficient data
2586	37	24	0	18-1	34	cross-reactive	insufficient data
2587	83	21	0	18	25	insufficient data	insufficient data
2588	590	20	0	21	4	exact match	insufficient data
2589	300	63	0	5-1	2-2	insufficient data	insufficient data
2590	37	6	0	22	14-6	cross-reactive	insufficient data
2591	24	49	0	5-3	2-16	insufficient data	insufficient data
2592	1	3	1	7	16-46	exact match	cross-reactive
2593	584	3	0	12-3	4	exact match	insufficient data
2594	591	384	0	12-1	4	exact match	insufficient data
2595	37	6	0	12-1	13-1	cross-reactive	insufficient data
2596	37	6	0	12-1	4	exact match	insufficient data
2597	260	502	0	12-1	4	exact match	insufficient data
2598	4	53	0	21	9	cross-reactive	cross-reactive
2599	144	20	0	18	25	cross-reactive	insufficient data
2600	37	6	0	12-1	13-2	cross-reactive	insufficient data
2601	787	63	0	21-2	28	insufficient data	insufficient data
2602	119	54	0	5-2	10	insufficient data	insufficient data
2603	4	18	0	18-1	3	cross-reactive	cross-reactive
2604	678	24	0	21	16-59	insufficient data	insufficient data
2605	45	18	0	22	14-39	none	exact match
2606	180	20	0	22	14	insufficient data	cross-reactive
2607	14	2	0	21	16	exact match	cross-reactive
2608	584	20	0	22	3	insufficient data	insufficient data
2609	1	3	1	7	10	exact match	cross-reactive
2610	296	81	0	21	3	insufficient data	insufficient data
2611	37	58	0	7-2	10-13	cross-reactive	insufficient data
2612	321	243	21	7-2	10-1	cross-reactive	insufficient data
2613	1	2	1	7	16	exact match	cross-reactive
2614	4	6	0	18-1	16	cross-reactive	cross-reactive
2615	37	6	0	5-2	16	cross-reactive	insufficient data
2616	4	2	0	18	3	exact match	cross-reactive
2617	665	20	0	5-3	2-16	insufficient data	insufficient data
2618	1	21	1	7	16	exact match	cross-reactive
2619	1	3	0	7-2	16	exact match	cross-reactive
2620	234	583	0	5-11	10-4	insufficient data	insufficient data
2621	14	2	0	7-2	14	exact match	cross-reactive
2622	297	18	0	22	14-39	insufficient data	insufficient data
2623	400	63	0	5-1	2-16	insufficient data	insufficient data
2624	872	20	0	22	14	insufficient data	insufficient data
2625	14	862	0	22-4	14	cross-reactive	cross-reactive
2626	14	6	0	5-1	10-4	cross-reactive	cross-reactive
2627	37	3	1	7	16	cross-reactive	insufficient data
2628	14	6	0	5-2	10	cross-reactive	cross-reactive
2629	1	3	1	5-2	10-1	exact match	cross-reactive
2630	207	2	0	21-2	28	exact match	insufficient data
2631	37	78	0	22	14	cross-reactive	insufficient data
2632	37	872	0	22	14	cross-reactive	insufficient data
2633	104	8	0	19	15	insufficient data	insufficient data
2634	13	20	0	7-2	13-7	insufficient data	cross-reactive
2635	14	1	0	17-1	23	cross-reactive	cross-reactive
2636	925	2	0	12-1	13-2	exact match	insufficient data
2637	37	6	0	19-23	15	cross-reactive	insufficient data
2638	321	243	0	5-2	10-4	cross-reactive	insufficient data
2639	144	20	0	7	14	cross-reactive	insufficient data
2640	19	47	0	21	16-55	none	cross-reactive
2641	2	115	3	22	14	cross-reactive	insufficient data
2642	245	253	0	7-2	14	insufficient data	insufficient data
2643	539	6	0	7	30	insufficient data	insufficient data
2644	456	656	0	19	15	insufficient data	insufficient data
2645	4	2	0	18	4-1	exact match	cross-reactive
2646	4	212	0	18-1	3	cross-reactive	cross-reactive
2647	14	2	0	18-4	25	exact match	cross-reactive
2648	333	6	0	5-1	10-4	insufficient data	insufficient data
2649	593	21	0	5-1	2-2	insufficient data	insufficient data
2650	805	20	0	5-2	10-1	insufficient data	insufficient data
2651	14	29	0	5-1	10-1	cross-reactive	cross-reactive
2652	19	47	0	7-2	16	none	cross-reactive
2653	144	20	1	5-1	3	cross-reactive	insufficient data
2654	144	879	0	5	2	cross-reactive	insufficient data
2655	711	63	0	5-1	2-16	insufficient data	insufficient data
2656	15	12	0	5-2	10	cross-reactive	cross-reactive
2657	21	877	0	7-2	4-13	insufficient data	cross-reactive
2658	4	78	0	22-1	14	cross-reactive	cross-reactive
2659	14	2	0	19	15-1	exact match	cross-reactive
2660	31	2	0	21-3	16	exact match	insufficient data
2661	37	6	0	19	15	cross-reactive	insufficient data
2662	924	3	1	7-2	14	insufficient data	insufficient data
2663	14	188	0	17	14-6	cross-reactive	cross-reactive
2664	37	6	0	5-2	10-23	cross-reactive	insufficient data
2665	13	6	0	7-2	13	insufficient data	cross-reactive
2666	4	20	0	7-51	14	cross-reactive	cross-reactive
2667	37	875	0	5-1	2-2	cross-reactive	insufficient data
2668	119	0	0	19	15	none	insufficient data
2669	805	21	0	22-1	14	insufficient data	insufficient data
2670	260	384	0	12-3	4	exact match	insufficient data
2671	806	21	0	22-1	14	insufficient data	insufficient data
2672	584	20	0	17	16-3	insufficient data	insufficient data
2673	4	111	0	7-52	4	exact match	cross-reactive
2674	510	874	0	18-1	30-11	insufficient data	cross-reactive
2675	1	30	1	7	16	exact match	cross-reactive
2676	333	63	0	5-1	10-1	insufficient data	insufficient data
2677	321	243	0	17	16-3	cross-reactive	insufficient data
2678	333	63	0	22	14-16	insufficient data	insufficient data
2679	19	188	0	22	26	insufficient data	cross-reactive
2680	14	2	0	7-2	4-24	exact match	cross-reactive
2681	914	3	1	7-12	16	insufficient data	insufficient data
2682	19	43	0	7-4	1	none	cross-reactive
2683	585	87	0	7-1	34	insufficient data	insufficient data
2684	24	873	0	5-1	2-2	insufficient data	insufficient data
2685	15	21	0	5-2	10-1	cross-reactive	cross-reactive
2686	37	354	0	22	26	cross-reactive	insufficient data
2687	34	908	0	7-1	15-54	insufficient data	insufficient data
2688	21	129	0	5-1	2-2	insufficient data	cross-reactive
2689	144	20	0	22	14-6	cross-reactive	insufficient data
2690	1	3	0	7-41	30	exact match	cross-reactive
2691	22	220	0	22	14	insufficient data	insufficient data
2692	584	2	0	21	16	exact match	insufficient data
2693	801	63	0	5-1	2	insufficient data	insufficient data
2694	801	1	0	5-1	2	cross-reactive	insufficient data
2695	144	20	0	7	30-9	cross-reactive	insufficient data
2696	14	2	0	5-1	10-1	exact match	cross-reactive
2697	13	7	0	5	2	insufficient data	cross-reactive
2698	213	115	3	22	14	cross-reactive	insufficient data
2699	37	6	0	5-1	2-9	cross-reactive	insufficient data
2700	960	243	21	5-2	10-1	cross-reactive	insufficient data
2701	234	20	0	22	14	insufficient data	insufficient data
2702	14	20	0	7-2	13-2	cross-reactive	cross-reactive
2703	393	20	0	22	14	insufficient data	insufficient data
2704	37	6	0	7-2	13	cross-reactive	insufficient data
2705	24	21	0	21	16	insufficient data	insufficient data
2706	959	20	0	5	2	insufficient data	insufficient data
2707	37	42	0	18-1	34	cross-reactive	insufficient data
2708	1087	115	3	22	14	cross-reactive	insufficient data
2709	260	502	0	18-1	3	insufficient data	insufficient data
2710	45	18	1	22	14	none	exact match
2711	45	18	0	22	14-32	none	exact match
2712	22	78	0	22	14	insufficient data	insufficient data
2713	24	115	3	22	14	cross-reactive	insufficient data
2714	45	18	0	18	25	none	exact match
2715	321	243	0	5-1	10-8	cross-reactive	insufficient data
2716	37	1274	0	22	26	cross-reactive	insufficient data
2717	960	118	0	19-2	13-1	insufficient data	insufficient data
2718	24	935	0	18-1	16	insufficient data	insufficient data
2719	37	6	0	5-2	10-3	cross-reactive	insufficient data
2720	19	21	0	7-2	4	exact match	cross-reactive
2721	37	1013	0	5-1	10-13	cross-reactive	insufficient data
2722	260	502	0	5-2	10	insufficient data	insufficient data
2723	19	47	0	21	26	none	cross-reactive
2724	1	3	1	22	26	exact match	cross-reactive
2725	539	6	0	22	26	insufficient data	insufficient data
2726	94	145	0	18-4	25-90	insufficient data	insufficient data
2727	37	59	0	22	14	cross-reactive	insufficient data
2728	158	115	0	22	14	insufficient data	insufficient data
2729	321	24	0	7-1	1	insufficient data	insufficient data
2730	245	1200	0	7-11	14	insufficient data	insufficient data
2731	37	6	0	5-1	10-10	cross-reactive	insufficient data
2732	1	21	0	21-2	28	exact match	cross-reactive
2733	45	1201	0	21	4	exact match	exact match
2734	13	183	0	7	16	insufficient data	cross-reactive
2735	1	24	1	7	16	exact match	cross-reactive
2736	1	115	0	22	14	exact match	cross-reactive
2737	4	20	0	7-59	14	cross-reactive	cross-reactive
2738	106	502	0	22	13-1	insufficient data	insufficient data
2739	37	53	8	5-3	10-2	exact match	insufficient data
2740	249	10	0	17	16-3	cross-reactive	insufficient data
2741	735	12	0	5-1	10-1	insufficient data	insufficient data
2742	321	2	0	5-3	2-16	exact match	insufficient data
2743	1090	63	0	5-1	2-6	insufficient data	insufficient data
2744	144	20	0	5-1	2-2	cross-reactive	insufficient data
2745	19	9	0	5-8	10-7	none	cross-reactive
2746	23	9	0	7-2	13-74	insufficient data	cross-reactive
2747	21	239	0	7-2	2	insufficient data	cross-reactive
2748	297	191	0	7	30-2	insufficient data	insufficient data
2749	22	20	0	18-1	3	insufficient data	insufficient data
2750	25	24	0	19	15-1	insufficient data	cross-reactive
2751	34	6	21	22	9	insufficient data	insufficient data
2752	16	20	0	22-1	3	insufficient data	cross-reactive
2753	25	24	0	7-2	4	exact match	cross-reactive
2754	16	25	3	21-2	28	cross-reactive	cross-reactive
2755	19	266	0	22	9	insufficient data	cross-reactive
2756	13	573	0	22	14-6	insufficient data	cross-reactive
2757	13	25	0	5-1	10-4	insufficient data	cross-reactive
2758	13	510	0	18	25	insufficient data	cross-reactive
2759	94	10	0	5-1	10-53	cross-reactive	insufficient data
2760	141	801	0	19-46	15-35	insufficient data	insufficient data
2761	499	3	100	7	16-156	insufficient data	insufficient data
2762	84	129	0	21	16	insufficient data	insufficient data
2763	102	191	0	7	30-3	insufficient data	insufficient data
2764	31	191	0	7-2	30-3	insufficient data	insufficient data
2765	13	20	0	19	15	insufficient data	cross-reactive
2766	297	191	0	7	30	insufficient data	insufficient data
2767	13	21	0	21-2	28	insufficient data	cross-reactive
2768	16	20	7	21	16	insufficient data	cross-reactive
2769	13	21	1	7-19	16	insufficient data	cross-reactive
2770	15	21	0	19-47	3-5	cross-reactive	cross-reactive
2771	1103	21	0	5-1	10-1	insufficient data	insufficient data
2772	16	21	0	19-3	15	insufficient data	cross-reactive
2773	24	21	0	22-1	16-8	insufficient data	insufficient data
2774	16	21	0	5-2	10-2	insufficient data	cross-reactive
2775	19	326	0	5-1	10-4	insufficient data	cross-reactive
2776	24	31	0	19	15	none	insufficient data
2777	1104	114	0	21-7	16	insufficient data	insufficient data
2778	13	17	0	19	15-15	insufficient data	cross-reactive
2779	34	6	0	18-1	30-3	insufficient data	insufficient data
2780	13	573	0	7-2	4	exact match	cross-reactive
2781	0	21	0	5-1	10-1	insufficient data	none
2782	0	270	0	0	0	insufficient data	none
2783	24	266	0	7-2	13-1	insufficient data	insufficient data
2784	102	191	0	7	30-2	insufficient data	insufficient data
2785	14	7	0	22	14	cross-reactive	cross-reactive
2786	19	47	0	19-3	15-27	none	cross-reactive
2787	125	6	0	7	16-68	insufficient data	insufficient data
2788	23	9	0	5-1	10-54	insufficient data	cross-reactive
2789	13	114	0	21-7	16-69	insufficient data	cross-reactive
2790	94	10	0	19-7	13-43	cross-reactive	insufficient data
2791	102	191	0	7	30-9	insufficient data	insufficient data
2792	94	145	0	18-4	25-17	insufficient data	insufficient data
2793	94	10	0	18-9	25-9	cross-reactive	insufficient data
2794	13	498	0	21-7	16	insufficient data	cross-reactive
2795	24	499	0	17	16-3	insufficient data	insufficient data
2796	25	7	0	21	16	insufficient data	cross-reactive
2797	13	24	0	19	15	insufficient data	cross-reactive
2798	13	573	0	21	16	insufficient data	cross-reactive
2799	21	3	100	7	16-117	insufficient data	cross-reactive
2800	284	192	0	7-2	4-18	insufficient data	insufficient data
2801	19	6	0	22	9	none	cross-reactive
2802	15	21	0	18-1	3-4	cross-reactive	cross-reactive
2803	141	801	0	7	15	insufficient data	insufficient data
2804	13	25	0	19-1	26	insufficient data	cross-reactive
2805	31	173	0	18-1	34	insufficient data	insufficient data
2806	1105	10	0	18	25-15	cross-reactive	insufficient data
2807	22	29	4	21	16	insufficient data	insufficient data
2808	276	21	0	22-1	14	insufficient data	cross-reactive
2809	102	58	0	19	15	insufficient data	insufficient data
2810	286	6	0	7-2	4	exact match	insufficient data
2811	90	21	0	22-1	14	insufficient data	insufficient data
2812	16	20	0	18-1	3-27	insufficient data	cross-reactive
2813	15	21	0	7	16	cross-reactive	cross-reactive
2814	13	664	0	21	16	insufficient data	cross-reactive
2815	15	29	0	22	14	cross-reactive	cross-reactive
2816	22	21	0	17-1	23	insufficient data	insufficient data
2817	1107	9	0	22	14	insufficient data	insufficient data
2818	23	25	0	21	16	insufficient data	cross-reactive
2819	23	9	0	7-8	1	insufficient data	cross-reactive
2820	94	10	0	7-2	13-9	cross-reactive	insufficient data
2821	23	9	0	19	15-1	insufficient data	cross-reactive
2822	94	10	0	19-3	15	cross-reactive	insufficient data
2823	125	6	0	19	15	insufficient data	insufficient data
2824	125	6	0	7	16-26	insufficient data	insufficient data
2825	409	18	0	22	14	insufficient data	insufficient data
2826	15	21	0	19-1	3-28	cross-reactive	cross-reactive
2827	13	510	179	18	25	insufficient data	cross-reactive
2828	25	20	0	18-1	3	insufficient data	cross-reactive
2829	45	18	172	22	14	insufficient data	exact match
2830	297	191	0	7-2	30-8	insufficient data	insufficient data
2831	13	13	0	0	0	insufficient data	cross-reactive
2832	21	239	0	18-1	3	insufficient data	cross-reactive
2833	297	191	0	7	30-3	insufficient data	insufficient data
2834	94	10	0	18	25-91	cross-reactive	insufficient data
2835	23	9	0	22-40	16-157	insufficient data	cross-reactive
2836	25	8	0	5-2	10-2	insufficient data	cross-reactive
2837	1108	18	0	22	14	insufficient data	insufficient data
2838	21	239	0	12-1	13-1	insufficient data	cross-reactive
2839	1109	24	0	5-1	2-2	insufficient data	insufficient data
2840	106	21	0	21	16	insufficient data	insufficient data
2841	1110	20	2	5	2	insufficient data	insufficient data
2842	16	21	0	5-1	10-1	insufficient data	cross-reactive
2843	106	1275	0	21	26-9	insufficient data	insufficient data
2844	25	1276	0	19	15	insufficient data	cross-reactive
2845	24	0	0	19	15	none	insufficient data
2846	119	1276	0	19	15-21	insufficient data	insufficient data
2847	1	1277	1	12-1	13-7	exact match	cross-reactive
2848	714	255	0	7	30-2	insufficient data	insufficient data
2849	13	1278	0	18-1	34	insufficient data	cross-reactive
2850	16	1279	0	18-1	3	insufficient data	cross-reactive
2851	4	8	0	17	9	cross-reactive	cross-reactive
2852	25	24	0	19	15	insufficient data	cross-reactive
2853	918	20	0	5-1	10-1	insufficient data	insufficient data
2854	19	9	0	5-1	10-6	none	cross-reactive
2855	13	24	0	5-1	10-8	insufficient data	cross-reactive
2856	94	145	0	5-1	10-8	insufficient data	insufficient data
2857	13	6	0	22	26	insufficient data	cross-reactive
2858	19	20	0	7-1	1	insufficient data	cross-reactive
2859	21	707	0	12-1	23-7	insufficient data	cross-reactive
2860	21	832	0	18-1	30	insufficient data	cross-reactive
2861	22	601	0	18-1	30-9	insufficient data	insufficient data
2862	917	266	0	19-1	15-37	insufficient data	insufficient data
2863	13	10	0	21-7	16-13	cross-reactive	cross-reactive
2864	13	114	0	21-7	16-75	insufficient data	cross-reactive
2865	321	6	0	22	26	insufficient data	insufficient data
2866	24	656	0	19	15	insufficient data	insufficient data
2867	4	10	0	18-35	25-15	cross-reactive	cross-reactive
2868	21	239	0	18-36	30	insufficient data	cross-reactive
2869	14	6	144	19-5	15-1	cross-reactive	cross-reactive
2870	13	114	151	21-7	16	insufficient data	cross-reactive
2871	102	58	0	7-2	10-1	insufficient data	insufficient data
2872	21	129	0	5-3	2-16	insufficient data	cross-reactive
2873	245	24	0	19-1	9	insufficient data	insufficient data
2874	889	2	0	12-1	9	exact match	insufficient data
2875	650	18	0	22	14	insufficient data	insufficient data
2876	25	13	0	0	0	insufficient data	cross-reactive
2877	256	18	0	22	14	insufficient data	insufficient data
2878	45	807	0	22	14-32	insufficient data	exact match
2879	30	18	0	22	14	none	cross-reactive
2880	354	18	0	22	14	insufficient data	insufficient data
2881	45	810	0	22	14	insufficient data	exact match
2882	45	2	0	22	14	exact match	exact match
2883	333	71	0	5-3	2-16	insufficient data	insufficient data
2884	24	58	0	7	30-4	insufficient data	insufficient data
2885	25	24	0	21	4	exact match	cross-reactive
2886	25	24	0	21	16	insufficient data	cross-reactive
2887	119	29	0	22-1	14	insufficient data	insufficient data
2888	286	72	0	5-1	10-17	insufficient data	insufficient data
2889	325	53	0	12-3	4	exact match	insufficient data
2890	109	33	0	5-2	10-11	insufficient data	insufficient data
2891	102	58	0	12-4	16-8	insufficient data	insufficient data
2892	21	75	0	12-3	4	exact match	cross-reactive
2893	101	9	0	21	16	insufficient data	insufficient data
2894	333	76	0	21	16	insufficient data	insufficient data
2895	589	20	0	7	14	insufficient data	insufficient data
2896	37	80	0	5-1	10-1	cross-reactive	insufficient data
2897	108	20	0	5	2	insufficient data	insufficient data
2898	659	20	0	5	2	insufficient data	insufficient data
2899	660	20	0	5	2	insufficient data	insufficient data
2900	661	20	0	5	2	insufficient data	insufficient data
2901	0	20	0	5	2-53	insufficient data	none
2902	78	20	0	5	2	insufficient data	insufficient data
2903	17	20	0	5-19	2	insufficient data	insufficient data
2904	853	21	0	12-1	16	insufficient data	insufficient data
2905	16	21	0	12-1	16	insufficient data	cross-reactive
2906	24	49	0	5-1	10-1	insufficient data	insufficient data
2907	17	20	0	5	2	insufficient data	insufficient data
2908	245	59	0	5-1	2-2	insufficient data	insufficient data
2909	25	51	0	18-1	3	insufficient data	cross-reactive
2910	37	54	0	21-3	9	cross-reactive	insufficient data
2911	245	24	0	22	13-9	insufficient data	insufficient data
2912	14	60	0	21	16-27	cross-reactive	cross-reactive
2913	333	63	0	5-3	2-16	insufficient data	insufficient data
2914	14	73	0	22	14-6	cross-reactive	cross-reactive
2915	25	24	0	5-1	10-8	insufficient data	cross-reactive
2916	24	20	0	22	13-1	insufficient data	insufficient data
2917	101	9	0	5-1	10-14	insufficient data	insufficient data
2918	16	20	0	7	16-13	insufficient data	cross-reactive
2919	0	3	1	7	16	insufficient data	none
2920	34	248	0	22	14-6	insufficient data	insufficient data
2921	17	53	0	5-3	2-16	insufficient data	insufficient data
2922	286	55	0	5-2	10-11	insufficient data	insufficient data
2923	25	24	0	5-3	2-16	insufficient data	cross-reactive
2924	16	6	0	22	26	none	cross-reactive
2925	106	33	0	22	2	insufficient data	insufficient data
2926	668	88	0	12-1	13-1	insufficient data	insufficient data
2927	14	57	0	22	14-6	cross-reactive	cross-reactive
2928	37	54	0	22	14	cross-reactive	insufficient data
2929	34	2	0	22	14-6	exact match	insufficient data
2930	34	64	0	22	14-6	insufficient data	insufficient data
2931	654	43	0	22	14-6	insufficient data	insufficient data
2932	174	38	0	0	0	insufficient data	insufficient data
2933	235	20	0	22	14	insufficient data	insufficient data
2934	94	7	0	5-1	10-1	insufficient data	insufficient data
2935	256	3	1	7-2	13-1	insufficient data	insufficient data
2936	19	29	0	7-4	15	insufficient data	cross-reactive
2937	22	29	121	0	2	insufficient data	insufficient data
2938	152	43	0	22	14-6	insufficient data	insufficient data
2939	321	89	0	5-2	10-1	insufficient data	insufficient data
2940	260	20	0	7-36	14	insufficient data	insufficient data
2941	605	21	0	19-1	15-11	insufficient data	insufficient data
2942	24	312	0	7	9	insufficient data	insufficient data
2943	299	13	1	22	14	insufficient data	insufficient data
2944	1137	58	0	7	30	insufficient data	insufficient data
2945	106	819	0	19	15	insufficient data	insufficient data
2946	13	21	0	5	2	insufficient data	cross-reactive
2947	119	255	0	7-1	1	insufficient data	insufficient data
2948	224	20	100	7	16-26	insufficient data	insufficient data
2949	685	29	1	7-1	1	insufficient data	insufficient data
2950	410	20	0	5-1	10-8	insufficient data	insufficient data
2951	106	819	0	19	15-35	insufficient data	insufficient data
2952	90	7	0	5-1	10-1	insufficient data	insufficient data
2953	94	3	100	7-2	16-26	insufficient data	insufficient data
2954	22	96	142	5	2	insufficient data	insufficient data
2955	13	145	0	18-4	10-1	insufficient data	cross-reactive
2956	1	912	1	12-6	13-4	exact match	cross-reactive
2957	215	3	100	7	16-26	cross-reactive	insufficient data
2958	16	669	0	21	16-36	insufficient data	cross-reactive
2959	1133	18	0	22	14	insufficient data	insufficient data
2960	510	29	1	5-2	10-29	insufficient data	cross-reactive
